DRUG_Event(e1,e2)	Health outcomes were rates of mortality from 12 causes (cardiovascular disease, malignant neoplasms, accidents, chronic lower respiratory disease, cerebrovascular disease, pneumonia and <e1>influenza</e1>, diseases of the nervous system, <e2>suicide</e2>, chronic liver disease and cirrhosis, diabetes, homicide, HIV/AIDS) for 59 New York City neighborhoods in 2000.
DRUG_Event(e2,e1)	Seasonality, <e1>suicidality</e1> and <e2>melatonin</e2>.
DRUG_Event(e1,e2)	<e1>Melatonin</e1> is a <e2>suicidal antioxidant</e2> that has a protective effect against ROS and cytoprotective effect through inhibition of the decrease in SOD activity.
DRUG_Event(e1,e2)	The purpose of this paper is to provide an overview of studies attempted to reach an explanatory model of underlying pathophysiology of <e1>melatonin</e1> in thepathogenesis of seasonal variation in <e2>suicidality</e2>.
DRUG_Event(e2,e1)	These findings suggest that the increased risk of <e1>suicide</e1> in MS patients may be related to decreased 5-HT functions and blunted circadian <e2>melatonin</e2> secretion.
DRUG_Event(e2,e1)	These findings demonstrate that in MS pulsed applications of picotesla level EMFs improve mental depression and may reduce the risk of <e1>suicide</e1> by a mechanism involving the augmentation of 5-HT neurotransmission and resynchronization of circadian <e2>melatonin</e2> secretion.
DRUG_Event(e1,e2)	To test this hypothesis, we investigated nocturnal plasma <e1>melatonin</e1> levels in a cohort of 28 relapsing patients who were admitted consecutively to an inpatient Neurology service, 6 of whom had a history of <e2>suicide attempts</e2> and were having suicidal ideation at the time of admission.
DRUG_Event(e1,e2)	The seasonal variations of environmental (daylight and sunlight durations, mean temperature, geomagnetism), sociological (unemployment, deaths of all causes, birth and conception rates), and biological (<e1>melatonin</e1>, cortisol and serotonin circannual rhythms) factors were compared to the seasonal patterns of <e2>suicides</e2>.
DRUG_Event(e1,e2)	This study analyzed <e1>collagen</e1> composition in the cardiac tissues of 13 patients with endomyocardial fibrosis and 6 individuals who were the victims of traffic accidents or <e2>suicidal deaths</e2> and did not have any heart disease.
DRUG_Event(e2,e1)	Several lines of evidence evaluated the role of extended periods of light associated with probability of <e1>suicides</e1> whereas others summarize the alterations of <e2>melatonin</e2> excretion and its seasonal variation along with seasonaldistribution of psychiatric disorders.
DRUG_Event(e1,e2)	Literature addressing the role of endo<e1>cannabinoids</e1> in <e2>suicide attempters</e2> (SA) is sparse.
